POS,NAME,TEAM,RATING,CAREER BEST RATING,DATE
1,Shakib Al Hasan,BAN,416,"453 v Zimbabwe, 05/11/2009",2006-09-07
2,Mohammad Nabi,AFG,294,"349 v Zimbabwe, 26/02/2017",2006-09-07
3,Chris Woakes,ENG,282,"312 v New Zealand, 10/03/2018",2006-09-07
4,Rashid Khan,AFG,270,"359 v Pakistan, 21/09/2018",2006-09-07
5,Mitchell Santner,NZ,268,"317 v England, 10/03/2018",2006-09-07
6,Ben Stokes,ENG,266,"319 v New Zealand, 14/07/2019",2006-09-07
7,Colin de Grandhomme,NZ,257,"266 v India, 11/02/2020",2006-09-07
8,Imad Wasim,PAK,256,"299 v Bangladesh, 05/07/2019",2006-09-07
9,Ravindra Jadeja,IND,238,"377 v England, 23/06/2013",2006-09-07
10,Sikandar Raza,ZIM,229,"275 v Ireland, 16/03/2018",2006-09-07
11,Jimmy Neesham,NZ,226,"227 v England, 03/07/2019",2006-09-07
12,Sean Williams,ZIM,225,"241 v Sri Lanka, 30/06/2017",2006-09-07
13,Hardik Pandya,IND,215,"262 v South Africa, 16/02/2018",2006-09-07
14,Mehedi Hasan,BAN,204,"222 v Sri Lanka, 28/07/2019",2006-09-07
15,Kagiso Rabada,SA,202,"224 v India, 05/06/2019",2006-09-07
16,Trent Boult,NZ,202,"213 v India, 09/07/2019",2006-09-07
17,Wanindu Hasaranga,SL,201,"206 v South Africa, 02/09/2021",2006-09-07
18,Jason Holder,WI,201,"214 v Sri Lanka, 10/03/2021",2006-09-07
19,Andile Phehlukwayo,SA,200,"261 v Afghanistan, 15/06/2019",2006-09-07
20,Marcus Stoinis,AUS,194,"243 v India, 08/03/2019",2006-09-07
